nimi,gml_id,kunta,vuosi,namn,name,municipality_name_fi,municipality_name_sv,municipality_name_en,kuntaryhmitys_code,kuntaryhmitys_name_fi,kuntaryhmitys_name_sv,kuntaryhmitys_name_en,avi_code,avi_name_fi,avi_name_sv,avi_name_en,ely_code,ely_name_fi,ely_name_sv,ely_name_en,maakunta_code,maakunta_name_fi,maakunta_name_sv,maakunta_name_en,kielisuhde_code,kielisuhde_name_fi,kielisuhde_name_sv,kielisuhde_name_en,seutukunta_code,seutukunta_name_fi,seutukunta_name_sv,seutukunta_name_en,year,suuralue_code,suuralue_name_fi,suuralue_name_sv,suuralue_name_en,sairaanhoitop_code,sairaanhoitop_name_fi,sairaanhoitop_name_sv,sairaanhoitop_name_en,nuts1_code,nuts1_name_fi,nuts1_name_sv,nuts1_name_en,nuts2_code,nuts2_name_fi,nuts2_name_sv,nuts2_name_en,nuts3_code,nuts3_name_fi,nuts3_name_sv,nuts3_name_en,vaalipiiri_code,vaalipiiri_name_fi,vaalipiiri_name_sv,vaalipiiri_name_en,hyvinvointialue_code,hyvinvointialue_name_fi,hyvinvointialue_name_sv,hyvinvointialue_name_en,municipality_code,kunta_name,name_fi,name_sv,erva_code,erva_name_fi,erva_name_sv,erva_name_en,kela_vakuutuspiiri_name_fi,kela_vakuutuspiiri_code,kela_vakuutuspiiri_name_sv,kela_vakuutuspiiri_name_en,kela_asumistukialue_name_fi,kela_asumistukialue_code,kela_asumistukialue_name_sv,kela_asumistukialue_name_en,pienituloisuusaste,mokit_lkm,lights_mean
Inari,kunta4500k_2022.50,"148","2022",Enare,Inari,Inari,Enare,Inari,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"6",Lapin AVI,Lapplands RFV,Lapland AVI,"15",Lapin ELY-keskus,NTM-centralen i Lappland,Lapland ELY Centre,"19",Lappi,Lappland,Lapland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"197",Pohjois-Lappi,Norra Lappland,Pohjois-Lappi,2022,"4",Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,"21",Lapin SHP,Lapplands SVD,Lappi Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1D,Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,FI1D7,Lappi,Lappland,Lapland,"13",Lapin vaalipiiri,Lapplands valkrets,Lapland constituency,"21",Lapin hyvinvointialue,Lapplands välfärdsområde,Lapland wellbeing services county,"148",Inari,Inari,Enare,"5",Oulun yliopistollisen sairaalan erityisvastuualue,Uleåborgs universitetssjukhus specialupptagningsområdet,Oulu University Hospital specific catchment area,Pohjoinen vakuutuspiiri,5,Norra försäkringsdistriktet,Northern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,11.6,"3246",7.20469044012148
Inkoo,kunta4500k_2022.51,"149","2022",Ingå,Ingå,Inkoo,Ingå,Ingå,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"1",Etelä-Suomen AVI,Södra Finlands RFV,Southern Finland AVI,"1",Uudenmaan ELY-keskus,NTM-centralen i Nyland,Uusimaa ELY Centre,"1",Uusimaa,Nyland,Uusimaa,"3","Kaksikielinen kunta, jossa enemmistön kieli on ruotsi",Tvåspråkig kommun med svenska som flertalets språk,Bilingual municipality with Swedish-speaking majority,"14",Raasepori,Raseborg,Raasepori,2022,"1",Helsinki-Uusimaa,Helsingfors - Nyland,Helsinki-Uusimaa,"25",Helsingin ja Uudenmaan SHP,Helsingfors och Nylands SVD,Helsinki and Uusimaa Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1B,Helsinki-Uusimaa,Helsingfors-Nyland,Helsinki-Uusimaa,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,Helsinki-Uusimaa,"2",Uudenmaan vaalipiiri,Nylands valkrets,Uusimaa constituency,"3",Länsi-Uudenmaan hyvinvointialue,Västra Nylands välfärdsområde,West Uusimaa wellbeing services county,"149",Inkoo,Inkoo,Ingå,"1",Helsingin yliopistollisen keskussairaalan erityisvastuualue,Helsingfors universitetscentralsjukhus specialupptagningsområdet,Helsinki University Hospital specific catchment area,Eteläinen vakuutuspiiri,1,Södra försäkringsdistriktet,Southern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,8.8,"2498",1.86428874673622
Isojoki,kunta4500k_2022.52,"151","2022",Storå,Isojoki,Isojoki,Storå,Isojoki,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"11",Etelä-Pohjanmaan ELY-keskus,NTM-centralen i Södra Österbotten,South Ostrobothnia ELY Centre,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"141",Suupohja,Suupohja,Suupohja,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"15",Etelä-Pohjanmaan SHP,Syd-Österbottens SVD,South Ostrobothnia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI194,Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"10",Vaasan vaalipiiri,Vasa valkrets,Vaasa constituency,"16",Etelä-Pohjanmaan hyvinvointialue,Södra Österbottens välfärdsområde,South Ostrobothnia wellbeing services county,"151",Isojoki,Isojoki,Storå,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,17.7,"231",7.05216881979343
Isokyrö,kunta4500k_2022.53,"152","2022",Storkyro,Isokyrö,Isokyrö,Storkyro,Isokyrö,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"11",Etelä-Pohjanmaan ELY-keskus,NTM-centralen i Södra Österbotten,South Ostrobothnia ELY Centre,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"142",Seinäjoki,Seinäjoki,Seinäjoki,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"15",Etelä-Pohjanmaan SHP,Syd-Österbottens SVD,South Ostrobothnia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI195,Pohjanmaa,Österbotten,Ostrobothnia,"10",Vaasan vaalipiiri,Vasa valkrets,Vaasa constituency,"16",Etelä-Pohjanmaan hyvinvointialue,Södra Österbottens välfärdsområde,South Ostrobothnia wellbeing services county,"152",Isokyrö,Isokyrö,Storkyro,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,14,"227",5.21848210808143
Jämijärvi,kunta4500k_2022.65,"181","2022",Jämijärvi,Jämijärvi,Jämijärvi,Jämijärvi,Jämijärvi,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"2",Lounais-Suomen AVI,Sydvästra Finlands RFV,Southwestern Finland AVI,"3",Satakunnan ELY-keskus,NTM-centralen i Satakunta,Satakunta ELY Centre,"4",Satakunta,Satakunta,Satakunta,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"44",Pohjois-Satakunta,Norra Satakunta,Pohjois-Satakunta,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"4",Satakunnan SHP,Satakunta SVD,Satakunta Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI196,Satakunta,Satakunta,Satakunta,"4",Satakunnan vaalipiiri,Satakunta valkrets,Satakunta constituency,"6",Satakunnan hyvinvointialue,Satakunta välfärdsområde,Satakunta wellbeing services county,"181",Jämijärvi,Jämijärvi,Jämijärvi,"2",Turun yliopistollisen sairaalan erityisvastuualue,Åbo universitetssjukhus specialupptagningsområdet,Turku University Hospital specific catchment area,Läntinen vakuutuspiiri,2,Västra försäkringsdistriktet,Western Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,18.3,"334",2.4674495486326
Jämsä,kunta4500k_2022.66,"182","2022",Jämsä,Jämsä,Jämsä,Jämsä,Jämsä,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"10",Keski-Suomen ELY-keskus,NTM-centralen i Mellersta Finland,Central Finland ELY Centre,"13",Keski-Suomi,Mellersta Finland,Central Finland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"134",Jämsä,Jämsä,Jämsä,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"6",Pirkanmaan SHP,Birkalands SVD,Pirkanmaa Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI193,Keski-Suomi,Mellersta Finland,Central Finland,"11",Keski-Suomen vaalipiiri,Mellersta Finlands valkrets,Central Finland constituency,"15",Keski-Suomen hyvinvointialue,Mellersta Finlands välfärdsområde,Central Finland wellbeing services county,"182",Jämsä,Jämsä,Jämsä,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,14.4,"4428",4.72380736756675
Janakkala,kunta4500k_2022.55,"165","2022",Janakkala,Janakkala,Janakkala,Janakkala,Janakkala,"2",Taajaan asutut kunnat,Tätortskommuner,Semi-urban municipalities,"1",Etelä-Suomen AVI,Södra Finlands RFV,Southern Finland AVI,"4",Hämeen ELY-keskus,NTM-centralen i Tavastland,Häme ELY Centre,"5",Kanta-Häme,Egentliga Tavastland,Kanta-Häme,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"51",Hämeenlinna,Tavastehus,Hämeenlinna,2022,"2",Etelä-Suomi,Södra Finland,Southern Finland,"5",Kanta-Hämeen SHP,Centrala Tavastlands SVD,Kanta-Häme Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1C,Etelä-Suomi,Södra Finland,Southern Finland,FI1C2,Kanta-Häme,Egentliga Tavastland,Kanta-Häme,"6",Hämeen vaalipiiri,Tavastlands valkrets,Häme constituency,"7",Kanta-Hämeen hyvinvointialue,Egentliga Tavastlands välfärdsområde,Kanta-Häme wellbeing services county,"165",Janakkala,Janakkala,Janakkala,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,10.9,"1877",3.68427417350033
Järvenpää,kunta4500k_2022.67,"186","2022",Träskända,Järvenpää,Järvenpää,Träskända,Järvenpää,"1",Kaupunkimaiset kunnat,Urbana kommuner,Urban municipalities,"1",Etelä-Suomen AVI,Södra Finlands RFV,Southern Finland AVI,"1",Uudenmaan ELY-keskus,NTM-centralen i Nyland,Uusimaa ELY Centre,"1",Uusimaa,Nyland,Uusimaa,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"11",Helsinki,Helsingfors,Helsinki,2022,"1",Helsinki-Uusimaa,Helsingfors - Nyland,Helsinki-Uusimaa,"25",Helsingin ja Uudenmaan SHP,Helsingfors och Nylands SVD,Helsinki and Uusimaa Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1B,Helsinki-Uusimaa,Helsingfors-Nyland,Helsinki-Uusimaa,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,Helsinki-Uusimaa,"2",Uudenmaan vaalipiiri,Nylands valkrets,Uusimaa constituency,"2",Keski-Uudenmaan hyvinvointialue,Mellersta Nylands välfärdsområde,Central Uusimaa wellbeing services county,"186",Järvenpää,Järvenpää,Träskända,"1",Helsingin yliopistollisen keskussairaalan erityisvastuualue,Helsingfors universitetscentralsjukhus specialupptagningsområdet,Helsinki University Hospital specific catchment area,Eteläinen vakuutuspiiri,1,Södra försäkringsdistriktet,Southern Insurance District,III kuntaryhmä,3,Kommungrupp III,Municipality in category III,9.2,"90",25.216646947696
Joensuu,kunta4500k_2022.56,"167","2022",Joensuu,Joensuu,Joensuu,Joensuu,Joensuu,"1",Kaupunkimaiset kunnat,Urbana kommuner,Urban municipalities,"3",Itä-Suomen AVI,Östra Finlands RFV,Eastern Finland AVI,"9",Pohjois-Karjalan ELY-keskus,NTM-centralen i Norra Karelen,North Karelia ELY Centre,"12",Pohjois-Karjala,Norra Karelen,North Karelia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"122",Joensuu,Joensuu,Joensuu,2022,"4",Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,"12",Pohjois-Karjalan SHP,Norra Karelens SVD,North Karelia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1D,Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,FI1D3,Pohjois-Karjala,Norra Karelen,North Karelia,"9",Savo-Karjalan vaalipiiri,Savolax-Karelens valkrets,Savo-Karelia constituency,"14",Pohjois-Karjalan hyvinvointialue,Norra Karelens välfärdsområde,North Karelia wellbeing services county,"167",Joensuu,Joensuu,Joensuu,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,III kuntaryhmä,3,Kommungrupp III,Municipality in category III,20.3,"3411",13.4111001386054
Jokioinen,kunta4500k_2022.57,"169","2022",Jockis,Jokioinen,Jokioinen,Jockis,Jokioinen,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"1",Etelä-Suomen AVI,Södra Finlands RFV,Southern Finland AVI,"4",Hämeen ELY-keskus,NTM-centralen i Tavastland,Häme ELY Centre,"5",Kanta-Häme,Egentliga Tavastland,Kanta-Häme,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"53",Forssa,Forssa,Forssa,2022,"2",Etelä-Suomi,Södra Finland,Southern Finland,"5",Kanta-Hämeen SHP,Centrala Tavastlands SVD,Kanta-Häme Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1C,Etelä-Suomi,Södra Finland,Southern Finland,FI1C2,Kanta-Häme,Egentliga Tavastland,Kanta-Häme,"6",Hämeen vaalipiiri,Tavastlands valkrets,Häme constituency,"7",Kanta-Hämeen hyvinvointialue,Egentliga Tavastlands välfärdsområde,Kanta-Häme wellbeing services county,"169",Jokioinen,Jokioinen,Jockis,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,11.4,"268",3.10635687157246
Jomala,kunta4500k_2022.58,"170","2022",Jomala,Jomala,Jomala,Jomala,Jomala,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"7",Ahvenanmaan valtionvirasto,Statens ämbetsverk på Åland,State Department of Åland,"16",Ahvenanmaa,Åland,Åland,"21",Ahvenanmaa,Åland,Åland,"2",Yksikielinen ruotsinkielinen kunta,Enspråkig svensk kommun,Monolingual Swedish-speaking municipality,"212",Ålands landsbygd,Ålands landsbygd,Ålands landsbygd,2022,"5",Ahvenanmaa,Åland,Åland,"0",Ahvenanmaa,Åland,Åland,FI2,ÅLAND,ÅLAND,ÅLAND,FI20,Åland,Åland,Åland,FI200,Åland,Åland,Åland,"5",Ahvenanmaan maakunnan vaalipiiri,Landskapet Ålands valkrets,Åland constituency,"91",Ahvenanmaa,Åland,Åland,"170",Jomala,Jomala,Jomala,"6",Ahvenanmaa,Åland,Åland,Läntinen vakuutuspiiri,2,Västra försäkringsdistriktet,Western Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,5,"393",1.3596800690744
Joroinen,kunta4500k_2022.59,"171","2022",Jorois,Joroinen,Joroinen,Jorois,Joroinen,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"3",Itä-Suomen AVI,Östra Finlands RFV,Eastern Finland AVI,"8",Pohjois-Savon ELY-keskus,NTM-centralen i Norra Savolax,North Savo ELY Centre,"11",Pohjois-Savo,Norra Savolax,North Savo,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"114",Varkaus,Varkaus,Varkaus,2022,"4",Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,"10",Etelä-Savon SHP,Södra Savolax SVD,South Savo Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1D,Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,FI1D1,Etelä-Savo,Södra Savolax,South Savo,"9",Savo-Karjalan vaalipiiri,Savolax-Karelens valkrets,Savo-Karelia constituency,"13",Pohjois-Savon hyvinvointialue,Norra Savolax välfärdsområde,North Savo wellbeing services county,"171",Joroinen,Joroinen,Jorois,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,13.9,"1183",14.430384196234
Joutsa,kunta4500k_2022.60,"172","2022",Joutsa,Joutsa,Joutsa,Joutsa,Joutsa,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"10",Keski-Suomen ELY-keskus,NTM-centralen i Mellersta Finland,Central Finland ELY Centre,"13",Keski-Suomi,Mellersta Finland,Central Finland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"132",Joutsa,Joutsa,Joutsa,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"14",Keski-Suomen SHP,Mellersta Finlands SVD,Central Finland Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI193,Keski-Suomi,Mellersta Finland,Central Finland,"11",Keski-Suomen vaalipiiri,Mellersta Finlands valkrets,Central Finland constituency,"15",Keski-Suomen hyvinvointialue,Mellersta Finlands välfärdsområde,Central Finland wellbeing services county,"172",Joutsa,Joutsa,Joutsa,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,19,"2478",2.47813214543718
Juuka,kunta4500k_2022.61,"176","2022",Juga,Juuka,Juuka,Juga,Juuka,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"3",Itä-Suomen AVI,Östra Finlands RFV,Eastern Finland AVI,"9",Pohjois-Karjalan ELY-keskus,NTM-centralen i Norra Karelen,North Karelia ELY Centre,"12",Pohjois-Karjala,Norra Karelen,North Karelia,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"122",Joensuu,Joensuu,Joensuu,2022,"4",Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,"12",Pohjois-Karjalan SHP,Norra Karelens SVD,North Karelia Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1D,Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,FI1D3,Pohjois-Karjala,Norra Karelen,North Karelia,"9",Savo-Karjalan vaalipiiri,Savolax-Karelens valkrets,Savo-Karelia constituency,"14",Pohjois-Karjalan hyvinvointialue,Norra Karelens välfärdsområde,North Karelia wellbeing services county,"176",Juuka,Juuka,Juga,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,21.4,"1681",4.9537056616668
Juupajoki,kunta4500k_2022.62,"177","2022",Juupajoki,Juupajoki,Juupajoki,Juupajoki,Juupajoki,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"5",Pirkanmaan ELY-keskus,NTM-centralen i Birkaland,Pirkanmaa ELY Centre,"6",Pirkanmaa,Birkaland,Pirkanmaa,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"69",Ylä-Pirkanmaa,Övre Birkaland,Ylä-Pirkanmaa,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"6",Pirkanmaan SHP,Birkalands SVD,Pirkanmaa Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI197,Pirkanmaa,Birkaland,Pirkanmaa,"7",Pirkanmaan vaalipiiri,Birkalands valkrets,Pirkanmaa constituency,"8",Pirkanmaan hyvinvointialue,Birkalands välfärdsområde,Pirkanmaa wellbeing services county,"177",Juupajoki,Juupajoki,Juupajoki,"3",Tampereen yliopistollisen sairaalan erityisvastuualue,Tammerfors universitetssjukhus specialupptagningsområdet,Tampere University Hospital specific catchment area,Keskinen vakuutuspiiri,3,Mellersta försäkringsdistriktet,Central Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,11.2,"472",2.55879592685138
Juva,kunta4500k_2022.63,"178","2022",Juva,Juva,Juva,Juva,Juva,"3",Maaseutumaiset kunnat,Landsbygdskommuner,Rural municipalities,"3",Itä-Suomen AVI,Östra Finlands RFV,Eastern Finland AVI,"7",Etelä-Savon ELY-keskus,NTM-centralen i Södra Savolax,South Savo ELY Centre,"10",Etelä-Savo,Södra Savolax,South Savo,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"105",Pieksämäki,Pieksämäki,Pieksämäki,2022,"4",Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,"10",Etelä-Savon SHP,Södra Savolax SVD,South Savo Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1D,Pohjois- ja Itä-Suomi,Norra och Östra Finland,Northern and Eastern Finland,FI1D1,Etelä-Savo,Södra Savolax,South Savo,"8",Kaakkois-Suomen vaalipiiri,Sydöstra Finlands valkrets,Southeast Finland constituency,"12",Etelä-Savon hyvinvointialue,Södra Savolax välfärdsområde,South Savo wellbeing services county,"178",Juva,Juva,Juva,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,16.2,"2090",4.2502600881985
Jyväskylä,kunta4500k_2022.64,"179","2022",Jyväskylä,Jyväskylä,Jyväskylä,Jyväskylä,Jyväskylä,"1",Kaupunkimaiset kunnat,Urbana kommuner,Urban municipalities,"4",Länsi- ja Sisä-Suomen AVI,Västra och Inre Finlands RFV,Western and Inland Finland AVI,"10",Keski-Suomen ELY-keskus,NTM-centralen i Mellersta Finland,Central Finland ELY Centre,"13",Keski-Suomi,Mellersta Finland,Central Finland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"131",Jyväskylä,Jyväskylä,Jyväskylä,2022,"3",Länsi-Suomi,Västra Finland,Western Finland,"14",Keski-Suomen SHP,Mellersta Finlands SVD,Central Finland Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI19,Länsi-Suomi,Västra Finland,Western Finland,FI193,Keski-Suomi,Mellersta Finland,Central Finland,"11",Keski-Suomen vaalipiiri,Mellersta Finlands valkrets,Central Finland constituency,"15",Keski-Suomen hyvinvointialue,Mellersta Finlands välfärdsområde,Central Finland wellbeing services county,"179",Jyväskylä,Jyväskylä,Jyväskylä,"4",Kuopion yliopistollisen sairaalan erityisvastuualue,Kuopio universitetssjukhus specialupptagningsområdet,Kuopio University Hospital specific catchment area,Itäinen vakuutuspiiri,4,Östra försäkringsdistriktet,Eastern Insurance District,III kuntaryhmä,3,Kommungrupp III,Municipality in category III,18.2,"3748",8.69736477435268
Kaarina,kunta4500k_2022.68,"202","2022",S:t Karins,Kaarina,Kaarina,S:t Karins,Kaarina,"1",Kaupunkimaiset kunnat,Urbana kommuner,Urban municipalities,"2",Lounais-Suomen AVI,Sydvästra Finlands RFV,Southwestern Finland AVI,"2",Varsinais-Suomen ELY-keskus,NTM-centralen i Egentliga Finland,Southwest Finland ELY Centre,"2",Varsinais-Suomi,Egentliga Finland,Southwest Finland,"0",Yksikielinen suomenkielinen kunta,Enspråkig finsk kommun,Monolingual Finnish-speaking municipality,"23",Turku,Åbo,Turku,2022,"2",Etelä-Suomi,Södra Finland,Southern Finland,"3",Varsinais-Suomen SHP,Egentliga Finlands SVD,Southwest Finland Hospital District,FI1,MANNER-SUOMI,FASTLANDSFINLAND,MAINLAND FINLAND,FI1C,Etelä-Suomi,Södra Finland,Southern Finland,FI1C1,Varsinais-Suomi,Egentliga Finland,Southwest Finland,"3",Varsinais-Suomen vaalipiiri,Egentliga Finlands valkrets,Varsinais-Suomi constituency,"5",Varsinais-Suomen hyvinvointialue,Egentliga Finlands välfärdsområde,Southwest Finland wellbeing services county,"202",Kaarina,Kaarina,S:t Karins,"2",Turun yliopistollisen sairaalan erityisvastuualue,Åbo universitetssjukhus specialupptagningsområdet,Turku University Hospital specific catchment area,Läntinen vakuutuspiiri,2,Västra försäkringsdistriktet,Western Insurance District,IV kuntaryhmä,4,Kommungrupp IV,Municipality in category IV,6.9,"750",20.2320451889897
